Date,phase_name,ret5,dd20,vol10,major_crash,post_major_crash_mode
2022-03-23,surge,0.1062743086094761,0.0,0.0184587066694697,False,False
2022-03-24,surge,0.0911567412923084,0.0,0.0180243535282628,False,False
2022-03-25,surge,0.0561646104286295,0.0,0.0157280489977405,False,False
2022-03-28,normal,0.0416163959986148,-0.007316177281759,0.0133117008656759,False,False
2022-03-29,normal,0.0377720546413651,0.0,0.0132021493976763,False,False
2022-03-30,high_vol,-0.0004604166373537,-0.0079699339914121,0.0142692618631755,False,False
2022-03-31,high_vol,-0.0102795062991053,-0.0152549847257967,0.0150750935236778,False,False
2022-04-01,normal,-0.0171887079175488,-0.020757140618278,0.0122368212510493,False,False
2022-04-04,normal,-0.0074227288053235,-0.0182621248083076,0.0122024784038897,False,False
2022-04-05,settling,-0.0164389264498152,-0.0164389264498152,0.0115288368867622,False,False
2022-04-06,normal,-0.0241532515230713,-0.0319306856941665,0.0076723281974361,False,False
2022-04-07,uptrend,-0.033530245766598,-0.0482737271053731,0.0086634169247482,False,False
2022-04-08,uptrend,-0.0245854177576787,-0.0448322354024015,0.0088542629338109,False,False
2022-04-11,uptrend,-0.0329872961007946,-0.050647002790621,0.0088143286587954,False,False
2022-04-12,normal,-0.0522887944891865,-0.0678681492922447,0.0080589390739545,False,False
2022-04-13,settling,-0.0185303463727333,-0.049869345401068,0.0115466365309755,False,False
2022-04-14,normal,0.0105408983893888,-0.038241677168279,0.012577358895109,False,False
2022-04-15,normal,0.0039794509988977,-0.0410311920874587,0.0125276423785382,False,False
2022-04-18,normal,-0.0008131006047062,-0.0514189222867316,0.0126990062062596,False,False
2022-04-19,normal,0.0246861536795686,-0.0448573991760523,0.0130264565353853,False,False
2022-04-20,normal,0.0139460022423092,-0.0366188211615445,0.0126187578157355,False,False
2022-04-21,normal,0.0140240154156852,-0.0247539636227234,0.0117316027680094,False,False
2022-04-22,normal,0.0004455109473502,-0.0406039609853663,0.0131227021889773,False,False
2022-04-25,high_vol,-0.0077960408271661,-0.0588140990964615,0.0144138367650154,False,False
2022-04-26,normal,-0.0105606640704219,-0.0473517960199448,0.0130912691553303,False,False
2022-04-27,normal,-0.0305394717778767,-0.0515717144748189,0.0120248957369906,False,False
2022-04-28,normal,-0.0255928068335761,-0.0338304569913672,0.0127878361057275,False,False
2022-05-02,normal,-0.0105784069671095,-0.0348874281441659,0.0127727275281502,False,False
2022-05-06,normal,0.0155234732081925,-0.0282287488562599,0.0124749329820531,False,False
2022-05-09,high_vol,-0.0142609727137119,-0.0447761765349484,0.0146976301215941,False,False
2022-05-10,high_vol,-0.0083197908505247,-0.050301524040936,0.0141946393693282,False,False
2022-05-11,normal,-0.0236241849975902,-0.0486123826279223,0.0132198553811605,False,False
2022-05-12,normal,-0.0398906510460533,-0.0654860043834456,0.0133689852488299,False,False
2022-05-13,high_vol,-0.0213271933251278,-0.0408451959206267,0.0156170621190144,False,False
2022-05-16,high_vol,0.0086518483689883,-0.0365117248558835,0.0156309357204196,False,False
2022-05-17,high_vol,0.0188270919581967,-0.0324214635014953,0.0151599602316699,False,False
2022-05-18,normal,0.0266105194516452,-0.0232954639297883,0.014389654702023,False,False
2022-05-19,high_vol,0.0254039471772906,-0.0417456602023638,0.0156320091795659,False,False
2022-05-20,normal,0.0117823151754898,-0.0295441317168784,0.0160806685504252,False,False
2022-05-23,normal,0.0171193686916435,-0.0200174138436157,0.0138204318895453,False,False
2022-05-24,normal,0.0033155083974905,-0.0292134487385029,0.0141083322478737,False,False
2022-05-25,normal,-0.0086729110658652,-0.0157703334360627,0.0141946287259363,False,False
2022-05-26,normal,0.0076506921677903,-0.0147654862932933,0.0125979892268053,False,False
2022-05-27,normal,0.0015950612922954,-0.0082167260495089,0.0098344838804441,False,False
2022-05-30,normal,0.0136255352527179,0.0,0.0118009226826413,False,False
2022-05-31,normal,0.0198765276324697,-0.0032747816550571,0.0119596513980568,False,False
2022-06-01,normal,0.0292411600996087,0.0,0.0118032760656869,False,False
2022-06-02,stable,0.0304095427890749,-0.0016028094155539,0.0094158790900562,False,False
2022-06-03,stable,0.0365880944150545,0.0,0.0094106114847563,False,False
2022-06-06,normal,0.0199661061169125,0.0,0.0092021197825233,False,False
2022-06-07,uptrend,0.024345795001424,0.0,0.0081252200724951,False,False
2022-06-08,uptrend,0.0282759680305924,0.0,0.0079117209196575,False,False
2022-06-09,uptrend,0.0303732419999647,0.0,0.0075927608065714,False,False
2022-06-10,uptrend,0.002259193168614,-0.0149483934800341,0.0100663764190644,False,False
2022-06-13,normal,-0.0332588769725128,-0.0445750283341641,0.0127678272582693,False,False
2022-06-14,normal,-0.0470259172553987,-0.0572342854898586,0.0133145729086756,False,False
2022-06-15,normal,-0.0675819710574658,-0.0679860212361543,0.0131963639481837,False,False
2022-06-16,reversal_down,-0.0642673674717918,-0.0642673674717918,0.0134313704315149,False,False
2022-06-17,normal,-0.0668943978521463,-0.0808428275514766,0.0127697729895087,False,False
2022-06-20,normal,-0.0450661038855677,-0.0876323093621223,0.0120350810535669,False,False
2022-06-21,high_vol,-0.0144029610792866,-0.0708129033828339,0.0144810152734046,False,False
2022-06-22,normal,-0.0067085125195545,-0.0742384486810914,0.0133328732343923,False,False
2022-06-23,normal,-0.009834938498197,-0.0734702403634628,0.0133598362276726,False,False
