date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,signal_basis_date,reason
2026-02-09,6343.T,機械/住宅建設,機械,SELL,193.0,500,187540.0,0.551608532183369,2026-02-06,sell_signal
2026-02-09,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,909.0,200,369340.0,0.4822397628163843,2026-02-06,sell_signal
2026-02-09,1938.T,建設/設備工事,建設業,SELL,2564.0,100,625740.0,0.4855599413403888,2026-02-06,sell_signal
2026-02-09,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3385.0,300,1641240.0,0.40298650406360165,2026-02-06,sell_signal
2026-02-09,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1093.0,1300,3062140.0,0.3423151645491632,2026-02-06,sell_signal
2026-02-10,6343.T,機械/住宅建設,機械,BUY,195.89499999999998,600,2944603.0,0.6810978142726836,2026-02-09,buy_breakout_up
2026-02-10,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,922.6349999999999,200,2760076.0,0.6246781843492174,2026-02-09,buy_breakout_up
2026-02-10,4977.T,化学/食品,化学,BUY,1297.1699999999998,200,2500642.0,0.5886237405254608,2026-02-09,buy_breakout_up
2026-02-10,3289.T,225/不動産,不動産業,BUY,1525.0,300,2043142.0,0.5091622861381805,2026-02-09,buy_breakout_up
2026-02-10,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3435.7749999999996,100,1699564.5,0.5027977492495077,2026-02-09,buy_breakout_up
2026-02-10,1879.T,建設/建設・土木,建設業,BUY,2139.62,300,1057678.5,0.4855963576456793,2026-02-09,buy_breakout_up
2026-02-10,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1109.395,900,59223.0,0.44835800576908214,2026-02-09,buy_breakout_up
2026-02-12,6343.T,機械/住宅建設,機械,SELL,214.0,600,187623.0,0.6904473618769108,2026-02-10,take_profit
2026-02-12,1768.T,建設/建設・土木,建設業,BUY,1658.5099999999998,100,21772.00000000003,0.7418042054959737,2026-02-10,buy_breakout_up
