quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date
2024Q2_PRE_ALIGNED,3038,9563.T,Ａｔｌａｓ Ｔｅｃｈｎｏｌｏｇｉｅｓ,サービス業,0.27796609150733204,-69.6148359486448,12.401055408970985,12.959414409527643,29.396325459317584,0.7051258611029649,74.75035663338087,33.33333333333333,29.603891591382904,65.0,426.0,824,-69.6148359486448,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3039,5218.T,オハラ,ガラス・土石製品,0.27744887299860094,-17.687934301958308,-2.978406552494417,9.290372833717786,12.420382165605105,0.08215321152394106,34.4914718888187,41.66666666666667,79.98772252915899,60.0,1303.0,5022,-17.687934301958308,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3040,7779.T,ＣＹＢＥＲＤＹＮＥ,精密機器,0.2774125395098192,-39.94334277620396,-0.46948356807511304,12.860002772496305,19.2090395480226,0.8533470031940199,48.44192634560906,25.0,59.38375350140056,30.0,212.0,2943,-39.94334277620396,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3041,4021.T,日産化学,化学,0.27734295041193846,-17.962337035248677,-11.155656266341296,13.07732339810263,29.400792725577052,0.5016932378318266,36.28567203903593,50.0,74.41962330267192,0.0,5097.0,6533,-17.962337035248677,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3042,6046.T,リンクバル,サービス業,0.2772930980879838,-28.000000000000004,-1.8181818181818188,21.2117929414511,46.26865671641791,0.8023337509237054,52.09790209790211,33.33333333333333,54.54545454545454,5.0,162.0,2674,-28.000000000000004,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3043,7370.T,Ｅｎｊｉｎ,サービス業,0.2772465309083373,-18.631492168178067,-10.516772438803269,7.469411962556983,12.474437627811863,0.6762473073005071,32.87388008270159,41.66666666666667,66.6891891891892,0.0,987.0,1155,-18.631492168178067,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3044,4494.T,バリオセキュア,情報・通信業,0.2770707808694751,-25.454545454545453,-6.4194008559201094,8.300589483726112,13.313161875945534,0.7592091725983738,32.233223322332236,33.33333333333333,71.61572052401746,0.0,656.0,1290,-25.454545454545453,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3045,4326.T,インテージホールディングス,情報・通信業,0.2769927561013524,-12.492702860478689,-6.429463171036209,10.435294726653616,17.425320056899007,0.2875487024854768,40.295909486510006,50.0,65.23063533507397,0.0,1499.0,4455,-12.492702860478689,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3046,7564.T,ワークマン,小売業,0.2765533810041971,-26.470588235294112,-7.178217821782173,8.43161204781177,13.913043478260878,0.806976545789035,34.962406015037594,33.33333333333333,69.96268656716418,0.0,3750.0,6534,-26.470588235294112,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3047,5341.T,ＡＳＡＨＩ ＥＩＴＯホールディングス,ガラス・土石製品,0.2763087206591015,-32.113144758735444,-5.336426914153137,14.722374574560648,21.356783919597987,0.8678462533446432,55.21472392638036,41.66666666666667,48.57142857142857,5.0,408.0,6470,-32.113144758735444,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3048,4902.T,コニカミノルタ,電気機器,0.2762691227524742,-5.094861135262985,-10.386468770897139,12.724480828624325,21.957795161819572,0.00467746682987602,23.18510018430018,50.0,79.21708402260343,0.0,445.2000122070313,6535,-5.094861135262985,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3049,7687.T,ミクリード,卸売業,0.2760073371677289,-1.4117647058823568,-21.68224299065421,21.935159803061527,54.37158469945356,0.08837359454055826,47.638888888888886,58.333333333333336,56.852103120759836,0.0,419.0,1462,-1.4117647058823568,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3050,9930.T,北沢産業,卸売業,0.2759234157210218,-15.34772182254197,-1.9444444444444486,11.63505677476373,13.595166163142004,0.036627982182552365,41.81818181818182,41.66666666666667,79.14798206278026,60.0,353.0,6273,-15.34772182254197,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3051,3923.T,ラクス,情報・通信業,0.27590009845069696,-20.42414978983569,2.1584498405690544,22.4499270186412,35.479632063074895,0.3165223910996562,42.269187986651836,25.0,76.49219467401286,40.0,1041.25,2521,-20.42414978983569,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3052,4284.T,ソルクシーズ,情報・通信業,0.27577894191408886,-29.605263157894733,-6.140350877192979,6.7203437970476285,10.423452768729646,0.8255678521828363,33.26180257510729,33.33333333333333,66.59751037344398,0.0,321.0,6135,-29.605263157894733,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3053,6819.T,伊豆シャボテンリゾート,サービス業,0.27554714752059695,-28.63924050632911,1.348314606741563,7.42347303296747,10.895883777239712,0.49453605479693774,45.09536784741145,33.33333333333333,60.61827956989247,45.0,451.0,6535,-28.63924050632911,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3054,4651.T,サニックスホールディングス,サービス業,0.2755050209855433,-17.22222222222223,-10.240963855421692,13.803520047620166,29.54545454545454,0.19927318154734508,30.729166666666664,58.333333333333336,76.21483375959079,0.0,298.0,6273,-17.22222222222223,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3055,4777.T,ガーラ,情報・通信業,0.2753848178662107,-36.907730673316706,-1.5564202334630295,12.14057570455208,24.888888888888893,0.8912996051282518,50.79365079365079,25.0,54.059829059829056,20.0,253.0,5960,-36.907730673316706,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3056,6089.T,ウィルグループ,サービス業,0.27514431835846415,-10.32608695652174,-8.248378127896206,7.048423381391389,16.219119226638036,0.14607902843536313,23.859934853420196,41.66666666666667,79.96768982229402,0.0,990.0,3004,-10.32608695652174,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3057,7898.T,ウッドワン,その他製品,0.2750407274988342,-18.722659667541553,-11.523809523809526,6.433442351720836,8.695652173913038,0.6201808269186763,29.907264296754256,41.66666666666667,71.46153846153847,0.0,929.0,6276,-18.722659667541553,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3058,5301.T,東海カーボン,ガラス・土石製品,0.27489839888077106,-27.548209366391184,-7.950000000000001,7.471124260394468,10.32477211600189,0.8430072602409564,33.38171262699564,33.33333333333333,66.70289855072464,0.0,920.5,6535,-27.548209366391184,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3059,8154.T,加賀電子,卸売業,0.27478835172806887,-8.412698412698417,-9.276729559748432,7.791681757447794,11.743772241992879,0.2520959576775359,22.74011299435028,33.33333333333333,81.03932584269663,0.0,2885.0,6276,-8.412698412698417,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3060,4256.T,サインド,情報・通信業,0.2745257474480543,-16.53971708378672,-2.9113924050632956,17.84445467383678,35.041322314049594,0.530049336501624,36.38275499474237,33.33333333333333,72.42681775259679,0.0,767.0,1029,-16.53971708378672,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3061,5724.T,アサカ理研,非鉄金属,0.27394038033058715,-23.62385321100917,-6.1090225563909755,10.666811399495163,26.24254473161034,0.7157077824925091,30.483271375464682,33.33333333333333,71.97406340057637,0.0,999.0,4258,-23.62385321100917,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3062,9776.T,札幌臨床検査センター,サービス業,0.2735581947251153,-14.700858440222985,-7.763405303936888,5.417026331763402,14.054599245237466,0.06852550830671056,15.38461911018526,41.66666666666667,85.29914155977701,0.0,169075168.0,6527,-14.700858440222985,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3063,9258.T,ＣＳ－Ｃ,サービス業,0.2735531271050314,-32.73905996758509,8.638743455497377,8.061775520990677,10.393258426966302,0.2439406144104479,55.64387917329094,33.33333333333333,64.44099378881988,100.0,415.0,1027,-32.73905996758509,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3064,6195.T,ホープ,サービス業,0.273222996010156,-30.420711974110038,-3.58744394618834,20.677499694941552,30.85714285714285,0.8494255575508611,46.10591900311527,25.0,63.988095238095234,15.0,215.0,2399,-30.420711974110038,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3065,3521.T,テルマー湯ホールディングス,サービス業,0.27292806363023997,-30.927835051546392,-4.285714285714281,6.547013817517411,12.79999999999999,0.7686168820360174,35.567010309278345,33.33333333333333,68.36734693877551,0.0,134.0,6276,-30.927835051546392,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3066,6471.T,日本精工,機械,0.2728616715892015,-12.737215577224092,-11.462227818397984,8.951450156054946,18.328401120875103,0.2248471125810495,20.28077621954306,41.66666666666667,83.9094066866387,0.0,781.7000122070312,6535,-12.737215577224092,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3067,8836.T,ＲＩＳＥ,不動産業,0.2723960775169698,-14.28571428571429,-5.263157894736848,12.990196078431376,23.529411764705888,0.39373272084806143,27.27272727272727,16.666666666666664,78.26086956521739,35.0,18.0,6535,-14.28571428571429,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3068,9201.T,日本航空,空運業,0.272359521218716,-17.17781402936378,-12.886067261496226,6.840664003073721,10.11880376894716,0.6455899796868378,22.456692913385822,25.0,79.204368174727,0.0,2538.5,6535,-17.17781402936378,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3069,6481.T,ＴＨＫ,機械,0.2723385460386549,-7.930150592758734,-18.64382785956965,12.257334511620122,21.004411265693925,0.38435136729620045,22.22529753667313,41.66666666666667,78.21175830157866,0.0,2873.5,6271,-7.930150592758734,2024-06-30,2024-06-30
