name,trend_r2_min,annual_min,quarter_min,pmr_min,persist_min,dd_max,avg_range_max,end_high_min,sector_min,per_max,sort_col,sort_asc,top_n,entry,tp,sl,final_capital,ret_pct,num_buys,num_sells,max_dd_pct,selected_count
overall_score_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,30,1.5,5,4,3212744.250000001,7.091475000000025,10,9,-3.7392762657753487,30
ocr_per_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,20,1.0,3,3,3194844.006164551,6.49480020548503,10,10,-3.66269760348209,20
ocr_per_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,8,1.5,5,4,3191926.000000001,6.397533333333372,3,3,-1.5344984042501064,8
end_to_trailing_high_pct_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,end_to_trailing_high_pct,False,30,0.5,5,4,3190495.166687012,6.349838889567083,13,12,-6.268767690496702,30
def_lowdd_top10,0.35,0.0,-10.0,35.0,35.0,15.0,12.0,90.0,0.35,18.0,max_drawdown_pct,True,10,1.0,5,4,3184913.0,6.16376666666667,3,3,-2.5084659317658353,10
ocr_per_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,8,0.5,3,3,3184707.5000000005,6.15691666666669,4,4,-0.9643708795062378,8
ocr_per_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,8,0.5,4,3,3184707.5000000005,6.15691666666669,4,4,-0.9643708795062378,8
ocr_per_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,5,1.0,3,3,3181910.0,6.063666666666667,3,3,-0.8391328239833573,5
ocr_per_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,8,1.0,3,3,3181726.0,6.0575333333333425,4,4,-0.9013141096433364,8
ocr_per_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,8,0.5,5,4,3177107.5000000005,5.90358333333334,4,4,-1.2023325250986927,8
max_drawdown_pct_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,8,0.5,5,4,3173374.0000000005,5.779133333333353,3,3,-1.6319389615186197,8
overall_score_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,20,1.5,5,4,3172319.250000001,5.7439750000000345,7,6,-3.7851224216412516,20
ocr_per_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,5,0.5,3,3,3172199.5000000005,5.739983333333343,3,3,-1.352669832081066,5
ocr_per_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,5,0.5,4,3,3172199.5000000005,5.739983333333343,3,3,-1.352669832081066,5
ocr_per_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,5,0.5,5,4,3172199.5000000005,5.739983333333343,3,3,-1.352669832081066,5
ocr_per_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,20,1.5,5,4,3167755.500000001,5.59185000000002,6,6,-4.169197971830374,20
max_drawdown_pct_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,5,0.5,5,4,3162053.5000000005,5.401783333333343,3,3,-1.6380649147882953,5
ocr_per_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,8,1.0,5,4,3159726.0,5.324200000000001,4,4,-1.5905598398443521,8
