symbol,status,rows,path,error
215A.T,ok,394.0,data\prices\215A_T.csv,
2160.T,skipped_exists,,data\prices\2160_T.csv,
2162.T,ok,4511.0,data\prices\2162_T.csv,
2163.T,ok,4510.0,data\prices\2163_T.csv,
2164.T,ok,4467.0,data\prices\2164_T.csv,
2168.T,ok,5540.0,data\prices\2168_T.csv,
2169.T,ok,4298.0,data\prices\2169_T.csv,
216A.T,ok,393.0,data\prices\216A_T.csv,
2170.T,skipped_exists,,data\prices\2170_T.csv,
2173.T,ok,4427.0,data\prices\2173_T.csv,
2175.T,ok,4419.0,data\prices\2175_T.csv,
2179.T,ok,4308.0,data\prices\2179_T.csv,
217A.T,ok,400.0,data\prices\217A_T.csv,
2180.T,ok,4298.0,data\prices\2180_T.csv,
2181.T,skipped_exists,,data\prices\2181_T.csv,
2183.T,ok,4265.0,data\prices\2183_T.csv,
2185.T,ok,4239.0,data\prices\2185_T.csv,
2186.T,ok,4233.0,data\prices\2186_T.csv,
218A.T,ok,393.0,data\prices\218A_T.csv,
2193.T,ok,4088.0,data\prices\2193_T.csv,
2195.T,ok,3978.0,data\prices\2195_T.csv,
2196.T,ok,3936.0,data\prices\2196_T.csv,
2198.T,ok,3843.0,data\prices\2198_T.csv,
219A.T,ok,392.0,data\prices\219A_T.csv,
2201.T,ok,6276.0,data\prices\2201_T.csv,
2204.T,ok,6276.0,data\prices\2204_T.csv,
2206.T,ok,6276.0,data\prices\2206_T.csv,
2207.T,ok,6276.0,data\prices\2207_T.csv,
2208.T,ok,6272.0,data\prices\2208_T.csv,
2209.T,ok,6276.0,data\prices\2209_T.csv,
220A.T,ok,391.0,data\prices\220A_T.csv,
2211.T,ok,6276.0,data\prices\2211_T.csv,
2212.T,skipped_exists,,data\prices\2212_T.csv,
2215.T,ok,6276.0,data\prices\2215_T.csv,
2216.T,ok,6270.0,data\prices\2216_T.csv,
2217.T,ok,6276.0,data\prices\2217_T.csv,
221A.T,ok,395.0,data\prices\221A_T.csv,
2220.T,skipped_exists,,data\prices\2220_T.csv,
2221.T,ok,6532.0,data\prices\2221_T.csv,
2222.T,ok,3945.0,data\prices\2222_T.csv,
