horizon,threshold,limit,take_profit,stop_loss,final_capital,profit,orders,fills,fill_rate
10,0.55,-0.02,0.07,0.2,3100461.2700000005,100461.27000000048,79,4,0.05063291139240506
10,0.6,-0.01,0.05,0.16,3100298.075,100298.07500000019,92,5,0.05434782608695652
10,0.6,-0.01,0.05,0.2,3100298.075,100298.07500000019,92,5,0.05434782608695652
30,0.7,-0.03,0.07,0.16,3099282.215,99282.21499999985,79,7,0.08860759493670886
15,0.7,0.0,0.03,0.12,3099103.0,99103.0,422,102,0.24170616113744076
20,0.65,-0.03,0.07,0.16,3098896.48,98896.47999999998,76,7,0.09210526315789473
30,0.7,-0.02,0.07,0.16,3098318.3100000005,98318.31000000052,79,7,0.08860759493670886
15,0.65,-0.02,0.07,0.08,3097499.7,97499.70000000019,48,3,0.0625
15,0.65,-0.02,0.07,0.12,3097499.7,97499.70000000019,48,3,0.0625
15,0.65,-0.02,0.07,0.16,3097499.7,97499.70000000019,48,3,0.0625
15,0.65,-0.02,0.07,0.2,3097499.7,97499.70000000019,48,3,0.0625
15,0.6,-0.01,0.05,0.08,3096234.3450000007,96234.34500000067,315,96,0.3047619047619048
15,0.65,-0.03,0.07,0.08,3093332.0500000003,93332.05000000028,48,3,0.0625
15,0.65,-0.03,0.07,0.12,3093332.0500000003,93332.05000000028,48,3,0.0625
15,0.65,-0.03,0.07,0.16,3093332.0500000003,93332.05000000028,48,3,0.0625
15,0.65,-0.03,0.07,0.2,3093332.0500000003,93332.05000000028,48,3,0.0625
10,0.7,-0.02,0.03,0.2,3082451.1599999997,82451.15999999968,92,7,0.07608695652173914
10,0.6,0.0,0.05,0.16,3079397.5,79397.5,92,4,0.043478260869565216
10,0.6,0.0,0.05,0.2,3079397.5,79397.5,92,4,0.043478260869565216
20,0.65,-0.02,0.07,0.16,3077576.6100000003,77576.61000000034,76,6,0.07894736842105263
