ticker,company_name,sector,score,fail_total,failed
6191.T,エアトリ,サービス業,0.1948469829827054,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
5017.T,富士石油,石油・石炭製品,0.1948709839531418,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
9218.T,メンタルヘルステクノロジーズ,サービス業,0.1951241638651093,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
6030.T,アドベンチャー,サービス業,0.1956105755201841,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
6298.T,ワイエイシイホールディングス,機械,0.1973106894458339,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
3681.T,ブイキューブ,情報・通信業,0.1989446057490527,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
7244.T,市光工業,電気機器,0.1993711197918705,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
7931.T,未来工業,化学,0.1994327726864652,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
6440.T,ＪＵＫＩ,機械,0.2009968857713683,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
3695.T,ＧＭＯプロダクトプラットフォーム,情報・通信業,0.2014239057156241,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
