fast,slow,train_sharpe_mean,train_sharpe_med,train_return_mean,test_sharpe_mean,test_sharpe_med,test_return_mean,n_sectors_train,n_sectors_test
30,40,-0.08363785622636205,-0.05916158843155423,-36.76052649138765,0.20267611397324178,0.15617652345822075,22.895680870516852,33,33
30,50,-0.0897454383953896,-0.044260486386484145,-29.802702391102915,0.1280096790714421,0.21124626329845222,16.84175169572284,33,33
30,60,-0.07982493406085199,-0.12188663331240562,-9.6980367646763,0.1818146061292779,0.31129587500538053,19.313089180782946,33,33
30,70,-0.0772281990606212,0.01900848519731792,-21.937914177426347,0.21700665015648823,0.3868438351501332,21.853842812080373,33,33
30,80,-0.04258238943014844,-0.045516851035228,-12.68814530494471,0.17615994087118308,0.32683520560134083,20.270966710813667,33,33
30,90,-0.06264551975231399,-0.04602090992542634,-6.850364632895408,0.19360587921509245,0.3868885196001634,27.61479263014354,33,33
30,100,-0.050618329137510146,-0.07760625437990905,-10.043686963805419,0.20946348082603772,0.3769875558198074,29.1194155210561,33,33
30,110,-0.044189127152253656,-0.03266487526108296,-5.639167121112697,0.20767951940005266,0.33224586251499044,25.90403523008612,33,33
30,120,-0.04251437012680448,-0.044330682864981756,-13.006077594680644,0.20550956861107003,0.3446610210612852,29.472947823987543,33,33
30,130,-0.02708273980178523,0.028170501737642625,-8.673188179522647,0.23342431996495416,0.43944976077016046,35.59299117566314,33,33
30,140,-0.01881737149355386,0.05021085228806149,7.380054057913686,0.23611141063992308,0.4197780400245361,35.186495063065955,33,33
30,150,-0.016123555557866598,0.05660526564514406,24.5874490624002,0.22983217754104063,0.4230149699036222,36.78904567254623,33,32
30,160,-0.02604073934073118,0.006887987123151852,-3.198786281983414,0.17995994632972703,0.3061508348007771,39.84903008812151,33,31
30,170,-0.02316972118968553,0.014216529007594046,34.93725045614974,0.19996979809440849,0.26461019004277453,37.93269247309963,33,30
30,180,-0.010999465438893347,0.04487888991884172,37.06534831470331,0.16941856534902064,0.3070613126902938,39.100563998829806,33,30
30,190,-0.02796717970104498,0.012728613543448675,20.05323549017644,0.18112758393843187,0.3444069282006292,37.58819224837224,33,29
30,200,-0.041355539154341675,0.0038476593236214615,9.187668651527968,0.14096643816900958,0.27532287954108026,35.63791827019788,33,28
35,50,-0.08678980483245059,-0.11411069361753158,-19.897531077041936,0.11075559294395015,0.1327927490980918,14.884667240430788,33,33
35,60,-0.05484763938083868,-0.05134221899208478,-7.238720947459043,0.15449268495590834,0.2607443696976181,17.31068622085343,33,33
35,70,-0.06386523395419863,-0.043851592974475065,-6.717679035825602,0.24563783607247328,0.379344849651004,22.06802518386609,33,33
35,80,-0.03763973935404001,0.0005595042102174396,-1.8423004651065598,0.2349658879770279,0.30875488732289674,22.348097469051126,33,33
35,90,-0.05102667349238187,-0.02962186276686591,-11.190169699510875,0.2068207017385088,0.3565064333310525,24.743608458858134,33,33
35,100,-0.038890762977255494,0.01403401631648276,-5.751301033248742,0.17734281920304812,0.2926419403988986,23.135187433533613,33,33
35,110,-0.026428590066270685,-0.025831657529703688,-8.253997349131508,0.24971912435667012,0.36529345284755127,29.820113160261883,33,33
35,120,-0.013192066918710804,0.04298068474722346,-9.800175181286757,0.22726765625116838,0.36860014863728036,30.806483945769564,33,33
35,130,-0.03128244621502678,0.02249869234370654,-10.762586733904774,0.23976332747942403,0.4296893882556638,35.659378619513916,33,33
35,140,-0.019414419835163087,0.053267966115024934,2.3893824148863434,0.24152442406290975,0.4257475377508459,35.834557032630336,33,33
35,150,-0.01725177282653483,0.06483266623750635,32.386124267936346,0.25419666596388835,0.3903847926137456,37.32539218086149,33,32
35,160,-0.014671531745695734,0.05184033866994508,-2.4350998245683395,0.19603251549467302,0.30649153669902957,35.72908233314212,33,31
35,170,-0.011300973429718891,0.05373088817555115,16.19551886598758,0.21270594584939104,0.283524751389175,36.541261581900336,33,30
35,180,-0.017579797601675957,0.07945676907853566,31.973804163774833,0.1852934050996132,0.330372396001667,40.358925783767184,33,30
35,190,-0.01851257754327257,0.04370093684872258,29.993026345247667,0.17182965020380325,0.36442816194004857,36.89854706652161,33,29
35,200,-0.03570761693848505,0.03174983729682809,10.366774217509818,0.14072759856322006,0.32775560398174464,39.61916108232475,33,28
40,50,-0.04579471789135914,-0.05472020184485116,8.89202369338224,0.0804166172285426,0.18560735291111546,15.309498390047903,33,33
40,60,-0.06577889685879625,-0.04709283693571316,3.717070765395092,0.09059858639671137,0.19943802255697426,10.632226978125832,33,33
40,70,-0.057927629395252755,-0.03871350553627025,-7.406281550304679,0.2240815842686032,0.3619804469672528,20.44296871077905,33,33
40,80,-0.004797937962069146,0.03389813536433128,9.040980132567386,0.23859097302626656,0.30593518866634145,22.527319186918533,33,33
40,90,-0.021231517537916834,0.021349283979948074,-5.325356534529973,0.25628398108153916,0.40820055491151874,32.94790856328206,33,33
